test,curve,x,y
"Microphysics Kernel","Kr_over_sig2",7.871999999999999,0.004611509662433047
"Microphysics Kernel","Kr_over_sig2",7.919999999999999,0.004317840007633086
"Microphysics Kernel","Kr_over_sig2",7.967999999999999,0.004041254966394723
"Microphysics Kernel","Kr_over_sig2",8.016,0.0037808742992408344
"Microphysics Kernel","Kr_over_sig2",8.064,0.0035358555015075725
"Microphysics Kernel","Kr_over_sig2",8.112,0.0033053926760930104
"Microphysics Kernel","Kr_over_sig2",8.16,0.0030887154082367687
"Microphysics Kernel","Kr_over_sig2",8.208,0.002885087644809958
"Microphysics Kernel","Kr_over_sig2",8.256,0.0026938065804214904
"Microphysics Kernel","Kr_over_sig2",8.304,0.0025142015524776034
"Microphysics Kernel","Kr_over_sig2",8.352,0.0023456329471668582
"Microphysics Kernel","Kr_over_sig2",8.4,0.002187491118182885
"Microphysics Kernel","Kr_over_sig2",8.448,0.002039195319842279
"Microphysics Kernel","Kr_over_sig2",8.496,0.0019001926561053163
"Microphysics Kernel","Kr_over_sig2",8.544,0.0017699570468628118
"Microphysics Kernel","Kr_over_sig2",8.592,0.0016479882127136776
"Microphysics Kernel","Kr_over_sig2",8.64,0.001533810679324463
"Microphysics Kernel","Kr_over_sig2",8.688,0.0014269728023347601
"Microphysics Kernel","Kr_over_sig2",8.736,0.001327045813650573
"Microphysics Kernel","Kr_over_sig2",8.784,0.0012336228898518265
